quantity,frame,representation,direction,quantile,mode,tp,fp,risk_recall,timely_fpr,precision,low_prior_tp,low_prior_fp,low_prior_precision,low_prior_share,mean_alarm_prior,lift
shape_pr,shape_spectrum,L3,low,0.8,global,12,78,0.024640657084188913,0.005449591280653951,0.13333333333333333,8,74,0.0975609756097561,0.6666666666666666,0.1393447875268556,0.9568591383989609
shape_pr,shape_spectrum,L3,low,0.85,per_task,5,14,0.01026694045174538,0.000978131768322504,0.2631578947368421,2,8,0.2,0.4,0.334345980210049,0.7870825740794496
shape_pr,shape_spectrum,L3,low,0.85,global,10,45,0.02053388090349076,0.0031439949696080486,0.18181818181818182,7,43,0.14,0.7,0.14674721363992838,1.2389889886720888
shape_pr,shape_spectrum,L3,low,0.9,per_task,4,6,0.008213552361396304,0.00041919932928107315,0.4,1,2,0.3333333333333333,0.25,0.4960975341237693,0.8062930623239214
shape_pr,shape_spectrum,L3,low,0.9,global,4,25,0.008213552361396304,0.0017466638720044715,0.13793103448275862,2,23,0.08,0.5,0.1777664521043434,0.7759114998919897
shape_pr,shape_spectrum,L3,low,0.925,per_task,3,3,0.006160164271047228,0.00020959966464053657,0.5,0,1,0.0,0.0,0.6199130712544362,0.8065646994476436
shape_pr,shape_spectrum,L3,low,0.925,global,3,15,0.006160164271047228,0.0010479983232026828,0.16666666666666666,1,14,0.06666666666666667,0.3333333333333333,0.20467542019951498,0.8142974202969859
shape_pr,shape_spectrum,L3,low,0.95,per_task,2,2,0.004106776180698152,0.00013973310976035772,0.5,0,0,0.0,0.0,0.7431417656891862,0.672819135035833
shape_pr,shape_spectrum,L3,low,0.95,global,1,3,0.002053388090349076,0.00020959966464053657,0.25,1,3,0.25,1.0,0.09326341308752338,2.680579572671082
shape_pr,shape_spectrum,L3,low,0.96,per_task,1,1,0.002053388090349076,6.986655488017886e-05,0.5,0,0,0.0,0.0,0.7404563675609004,0.6752592345812685
shape_pr,shape_spectrum,L3,low,0.96,global,1,1,0.002053388090349076,6.986655488017886e-05,0.5,1,1,0.5,1.0,0.07290038201586835,6.858674621089971
shape_pr,shape_spectrum,L3,low,0.975,per_task,0,0,0.0,0.0,0.0,0,0,0.0,0.0,,
shape_pr,shape_spectrum,L3,low,0.975,global,0,1,0.0,6.986655488017886e-05,0.0,0,1,0.0,0.0,0.06146341463414634,0.0
shape_pr,shape_spectrum,L3,low,0.98,per_task,0,0,0.0,0.0,0.0,0,0,0.0,0.0,,
shape_pr,shape_spectrum,L3,low,0.98,global,0,0,0.0,0.0,0.0,0,0,0.0,0.0,,
shape_pr,shape_spectrum,L3,low,0.99,per_task,0,0,0.0,0.0,0.0,0,0,0.0,0.0,,
shape_pr,shape_spectrum,L3,low,0.99,global,0,0,0.0,0.0,0.0,0,0,0.0,0.0,,
shape_pr,shape_spectrum,L3,low,0.995,per_task,0,0,0.0,0.0,0.0,0,0,0.0,0.0,,
shape_pr,shape_spectrum,L3,low,0.995,global,0,0,0.0,0.0,0.0,0,0,0.0,0.0,,
shape_pr,shape_spectrum,L3,high,0.5,per_task,291,768,0.5975359342915811,0.05365751414797736,0.2747875354107649,47,731,0.060411311053984576,0.16151202749140894,0.20730958839140912,1.3254936134066053
shape_pr,shape_spectrum,L3,high,0.5,global,355,2182,0.728952772073922,0.15244882274855026,0.13992905005912495,155,2071,0.06963162623539983,0.43661971830985913,0.1251301931591476,1.1182676740629285
shape_pr,shape_spectrum,L3,high,0.6,per_task,250,452,0.5133470225872689,0.03157968280584084,0.3561253561253561,36,423,0.0784313725490196,0.144,0.27173333764354346,1.3105692485642564
shape_pr,shape_spectrum,L3,high,0.6,global,306,1500,0.6283367556468172,0.1047998323202683,0.16943521594684385,89,1371,0.06095890410958904,0.2908496732026144,0.15254972428063293,1.1106884443471565
shape_pr,shape_spectrum,L3,high,0.7,per_task,220,237,0.4517453798767967,0.01655837350660239,0.4814004376367615,30,219,0.12048192771084337,0.13636363636363635,0.363637082915133,1.3238485849065964
shape_pr,shape_spectrum,L3,high,0.7,global,265,969,0.5441478439425051,0.06770069167889331,0.21474878444084278,36,847,0.04077010192525481,0.13584905660377358,0.18885350191869246,1.1371183603113648
shape_pr,shape_spectrum,L3,high,0.75,per_task,197,172,0.40451745379876797,0.012017047439390763,0.5338753387533876,25,156,0.13812154696132597,0.12690355329949238,0.4111460504153684,1.2985053321417765
shape_pr,shape_spectrum,L3,high,0.75,global,232,742,0.47638603696098564,0.051840983721092714,0.23819301848049282,13,650,0.0196078431372549,0.05603448275862069,0.20181616123205567,1.180247493691101
shape_pr,shape_spectrum,L3,high,0.8,per_task,177,107,0.36344969199178645,0.007475721372179138,0.6232394366197183,23,94,0.19658119658119658,0.12994350282485875,0.47895576498050907,1.3012463408704993
shape_pr,shape_spectrum,L3,high,0.8,global,210,560,0.43121149897330596,0.03912527073290016,0.2727272727272727,8,499,0.015779092702169626,0.0380952380952381,0.21453828059927485,1.2712289478849983
shape_pr,shape_spectrum,L3,high,0.85,per_task,155,49,0.3182751540041068,0.003423461189128764,0.7598039215686274,22,37,0.3728813559322034,0.14193548387096774,0.579742843756371,1.3105878403700049
shape_pr,shape_spectrum,L3,high,0.85,global,195,419,0.4004106776180698,0.029274086494794942,0.31758957654723124,6,370,0.015957446808510637,0.03076923076923077,0.2376118110607704,1.3365900252576508
shape_pr,shape_spectrum,L3,high,0.9,per_task,124,23,0.2546201232032854,0.0016069307622441137,0.8435374149659864,17,12,0.5862068965517241,0.13709677419354838,0.6481855017181756,1.301382725670325
shape_pr,shape_spectrum,L3,high,0.9,global,161,245,0.33059548254620125,0.01711730594564382,0.39655172413793105,2,216,0.009174311926605505,0.012422360248447204,0.2817631289392642,1.4073939540308351
shape_pr,shape_spectrum,L3,high,0.925,per_task,112,19,0.2299794661190965,0.0013274645427233983,0.8549618320610687,16,9,0.64,0.14285714285714285,0.6641154567135172,1.2873692720419212
shape_pr,shape_spectrum,L3,high,0.925,global,133,159,0.2731006160164271,0.011108782225948438,0.4554794520547945,1,140,0.0070921985815602835,0.007518796992481203,0.3195515262560627,1.4253709171453313
shape_pr,shape_spectrum,L3,high,0.95,per_task,81,9,0.16632443531827515,0.0006287989939216097,0.9,13,4,0.7647058823529411,0.16049382716049382,0.7179719529782579,1.2535308604558464
shape_pr,shape_spectrum,L3,high,0.95,global,98,83,0.20123203285420946,0.005798924055054846,0.5414364640883977,0,69,0.0,0.0,0.4042509103061423,1.3393574393644871
shape_pr,shape_spectrum,L3,high,0.96,per_task,72,4,0.14784394250513347,0.00027946621952071543,0.9473684210526315,10,2,0.8333333333333334,0.1388888888888889,0.7510562361247952,1.2613814724989743
