calibration,score_kind,method,suite,task,query,auc,control_auc,old_ac_auc,delta_control,delta_old_ac,failures,successes
episode,raw_score,layer_consensus,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,15,0.6893083881116917,0.6961907972357998,0.7000393280521378,-0.006882409124108091,-0.01073093994044605,51,349
episode,raw_score,relative_recovery,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,15,0.6090510702848475,0.6961907972357998,0.7000393280521378,-0.08713972695095229,-0.09098825776729025,51,349
episode,raw_score,ac_window_mean,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,15,0.7239732569245463,0.6961907972357998,0.7000393280521378,0.027782459688746486,0.023933928872408528,51,349
episode,raw_score,ac_reference,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,16,0.7908309455587392,0.7908309455587392,0.7877970672509692,0.0,0.0030338783077700215,51,349
episode,raw_score,relative_curvature,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,16,0.41940558458340355,0.7908309455587392,0.7877970672509692,-0.3714253609753357,-0.36839148266756566,51,349
episode,raw_score,relative_path_mobility,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,16,0.5754255857070621,0.7908309455587392,0.7877970672509692,-0.21540535985167708,-0.21237148154390706,51,349
episode,raw_score,relative_state,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,16,0.5078375189617395,0.7908309455587392,0.7877970672509692,-0.2829934265969998,-0.27995954828922975,51,349
episode,raw_score,relative_both,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,16,0.5585987976852632,0.7908309455587392,0.7877970672509692,-0.232232147873476,-0.229198269565706,51,349
episode,raw_score,relative_soft,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,16,0.41940558458340355,0.7908309455587392,0.7877970672509692,-0.3714253609753357,-0.36839148266756566,51,349
episode,raw_score,layer_consensus,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,16,0.8013090623068712,0.7908309455587392,0.7877970672509692,0.010478116748131927,0.013511995055901949,51,349
episode,raw_score,relative_recovery,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,16,0.4589583684476656,0.7908309455587392,0.7877970672509692,-0.33187257711107365,-0.32883869880330363,51,349
episode,raw_score,ac_window_mean,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,16,0.7299286476768357,0.7908309455587392,0.7877970672509692,-0.06090229788190349,-0.05786841957413347,51,349
episode,raw_score,ac_reference,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,17,0.828162362505978,0.828162362505978,0.8254423720707795,0.0,0.0027199904351984383,51,328
episode,raw_score,relative_curvature,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,17,0.47931611669057866,0.828162362505978,0.8254423720707795,-0.3488462458153993,-0.34612625538020086,51,328
