cohort,quantity,layer,chunk,alive,alive_risk,prior,auc_pooled,auc_within_suite,auc_within_task
external_8b,common_component,L14,6,15600,564,0.036153846153846154,0.43959709463245655,0.5164229739522903,0.5327547271913667
external_8b,common_component,L14,8,14456,564,0.03901494189263974,0.42545508104057034,0.4639709834229592,0.5652726004403462
external_8b,common_component,L14,10,11342,564,0.04972667959795451,0.4521840852590449,0.4374150958363494,0.573528350769029
external_8b,common_component,L14,12,9146,564,0.06166630220861579,0.49280305471951025,0.4327369244052048,0.5916682202336565
external_8b,common_component,L14,14,5753,564,0.09803580740483227,0.6901837493114867,0.6448014379096656,0.5416030460580993
external_8b,common_component,L14,16,4793,564,0.11767160442311704,0.7366042304989695,0.703577964163172,0.6038846032745592
external_8b,common_component,L14,18,4300,564,0.13116279069767442,0.6291829923914529,0.5001646526544872,0.6411999165504595
external_8b,common_component,L14,20,3995,564,0.1411764705882353,0.5684202856310113,0.40366450963999645,0.5888865574741727
external_8b,common_component,L14,24,2174,424,0.19503219871205152,0.5934514824797844,0.595702634880803,0.48127316886105076
external_8b,common_component,L14,28,769,380,0.494148244473342,0.41016777161412526,0.39716025484410533,0.3527873015873016
external_8b,common_component,L14,32,569,274,0.48154657293497366,0.22742793517258444,0.22742793517258444,0.12203354076574201
external_8b,common_component,L15,4,15600,564,0.036153846153846154,0.4258552523588777,0.49526695429165773,0.5010250486507862
external_8b,common_component,L15,6,15600,564,0.036153846153846154,0.42100778462658883,0.45364440764646907,0.5123994463696627
