episode,init_state_id,flow_noise_seed,success,failure,stratum
493,49,1013,False,True,i49
494,49,1014,False,True,i49
495,49,1015,False,True,i49
496,49,1016,False,True,i49
497,49,1017,False,True,i49
498,49,1018,False,True,i49
499,49,1019,False,True,i49
500,49,1020,False,True,i49
501,49,1021,False,True,i49
502,49,1022,False,True,i49
503,49,1023,False,True,i49
504,49,1024,False,True,i49
505,49,1025,False,True,i49
506,49,1026,False,True,i49
507,49,1027,False,True,i49
508,49,1028,False,True,i49
509,49,1029,False,True,i49
510,49,1030,False,True,i49
511,49,1031,False,True,i49
