dataset,snapshot,layer_group,view,flow,median_dispersion,mean_dispersion,candidates
rolling_star_k16,worker0_snapshot001,front,edge_state,0,0.00021446992468554527,0.000112596717372071,16
rolling_star_k16,worker0_snapshot001,front,edge_state,1,0.00021446992468554527,0.000112596717372071,16
rolling_star_k16,worker0_snapshot001,front,edge_state,2,0.00021446992468554527,0.00011438396904850379,16
rolling_star_k16,worker0_snapshot001,front,edge_state,3,0.00021446992468554527,0.00011438396904850379,16
rolling_star_k16,worker0_snapshot001,front,edge_state,4,0.00021446992468554527,0.000112596717372071,16
rolling_star_k16,worker0_snapshot001,front,edge_state,5,0.0,6.970272806938738e-05,16
rolling_star_k16,worker0_snapshot001,front,edge_state,6,0.0,6.970272806938738e-05,16
rolling_star_k16,worker0_snapshot001,front,edge_state,7,0.0,2.6808742404682562e-05,16
rolling_star_k16,worker0_snapshot001,front,edge_state,8,0.0,0.0,16
rolling_star_k16,worker0_snapshot001,front,edge_state,9,0.0,0.0,16
rolling_star_k16,worker0_snapshot001,front,token_gram,0,0.002152566099539399,0.002113686641678214,16
rolling_star_k16,worker0_snapshot001,front,token_gram,1,0.002092454582452774,0.002069626934826374,16
rolling_star_k16,worker0_snapshot001,front,token_gram,2,0.0020420802757143974,0.002024346962571144,16
rolling_star_k16,worker0_snapshot001,front,token_gram,3,0.0020139028783887625,0.001992288511246443,16
rolling_star_k16,worker0_snapshot001,front,token_gram,4,0.001982665853574872,0.0019701772835105658,16
rolling_star_k16,worker0_snapshot001,front,token_gram,5,0.0019231978803873062,0.0019306526519358158,16
rolling_star_k16,worker0_snapshot001,front,token_gram,6,0.0017906646244227886,0.001802029786631465,16
rolling_star_k16,worker0_snapshot001,front,token_gram,7,0.0015795527724549174,0.001586767379194498,16
rolling_star_k16,worker0_snapshot001,front,token_gram,8,0.001364931114949286,0.0013773110695183277,16
rolling_star_k16,worker0_snapshot001,front,token_gram,9,0.0011990166967734694,0.0011939310934394598,16
rolling_star_k16,worker0_snapshot001,front,expert_load,0,0.008866000920534134,0.009028918109834194,16
rolling_star_k16,worker0_snapshot001,front,expert_load,1,0.008374667726457119,0.008445221930742264,16
rolling_star_k16,worker0_snapshot001,front,expert_load,2,0.0080032367259264,0.008027907460927963,16
rolling_star_k16,worker0_snapshot001,front,expert_load,3,0.007633306086063385,0.007685218006372452,16
rolling_star_k16,worker0_snapshot001,front,expert_load,4,0.007510526105761528,0.007490942254662514,16
rolling_star_k16,worker0_snapshot001,front,expert_load,5,0.007485171779990196,0.007462867069989443,16
rolling_star_k16,worker0_snapshot001,front,expert_load,6,0.007389838341623545,0.0074714962393045425,16
rolling_star_k16,worker0_snapshot001,front,expert_load,7,0.007277751807123423,0.0073970528319478035,16
rolling_star_k16,worker0_snapshot001,front,expert_load,8,0.0071275182999670506,0.00716619985178113,16
rolling_star_k16,worker0_snapshot001,front,expert_load,9,0.007117468863725662,0.007240887265652418,16
rolling_star_k16,worker0_snapshot001,front,spectrum,0,0.0042797354981303215,0.004337555728852749,16
rolling_star_k16,worker0_snapshot001,front,spectrum,1,0.004036659840494394,0.004148556850850582,16
rolling_star_k16,worker0_snapshot001,front,spectrum,2,0.004046999849379063,0.004138752352446318,16
rolling_star_k16,worker0_snapshot001,front,spectrum,3,0.003918711096048355,0.004044988192617893,16
rolling_star_k16,worker0_snapshot001,front,spectrum,4,0.003855169750750065,0.003983456175774336,16
rolling_star_k16,worker0_snapshot001,front,spectrum,5,0.003744598710909486,0.003926181700080633,16
rolling_star_k16,worker0_snapshot001,front,spectrum,6,0.0036334635224193335,0.0037511163391172886,16
rolling_star_k16,worker0_snapshot001,front,spectrum,7,0.003364343661814928,0.0034314070362597704,16
rolling_star_k16,worker0_snapshot001,front,spectrum,8,0.002852751174941659,0.002941824495792389,16
rolling_star_k16,worker0_snapshot001,front,spectrum,9,0.002725518774241209,0.0027052718214690685,16
rolling_star_k16,worker0_snapshot001,back,edge_action,0,0.020385727286338806,0.020320922136306763,16
rolling_star_k16,worker0_snapshot001,back,edge_action,1,0.01982530765235424,0.01987975649535656,16
rolling_star_k16,worker0_snapshot001,back,edge_action,2,0.019632739946246147,0.019745036959648132,16
rolling_star_k16,worker0_snapshot001,back,edge_action,3,0.01965498924255371,0.01978563517332077,16
rolling_star_k16,worker0_snapshot001,back,edge_action,4,0.019611462950706482,0.019609171897172928,16
rolling_star_k16,worker0_snapshot001,back,edge_action,5,0.019330749288201332,0.01931631751358509,16
rolling_star_k16,worker0_snapshot001,back,edge_action,6,0.018564971163868904,0.018710117787122726,16
