cv_scheme,snapshot_key,worker,model,observed_failure_rate,predicted_failure_rate
leave_one_worker_out,w03_s002,3,mean_rate,0.0625,0.8828125
leave_one_worker_out,w03_s003,3,mean_rate,0.0625,0.8828125
leave_one_worker_out,w03_s004,3,mean_rate,0.1875,0.8828125
leave_one_worker_out,w03_s005,3,mean_rate,0.125,0.8828125
leave_one_worker_out,w00_s000,0,initial_sim_state,0.5625,1.0
leave_one_worker_out,w00_s001,0,initial_sim_state,0.75,1.0
leave_one_worker_out,w00_s002,0,initial_sim_state,0.8125,1.0
leave_one_worker_out,w00_s003,0,initial_sim_state,0.9375,0.9996285438537598
leave_one_worker_out,w00_s004,0,initial_sim_state,0.75,1.0
leave_one_worker_out,w00_s005,0,initial_sim_state,0.625,1.0
leave_one_worker_out,w01_s000,1,initial_sim_state,1.0,1.0
leave_one_worker_out,w01_s001,1,initial_sim_state,1.0,1.0
leave_one_worker_out,w01_s002,1,initial_sim_state,1.0,1.0
leave_one_worker_out,w01_s003,1,initial_sim_state,1.0,1.0
leave_one_worker_out,w01_s004,1,initial_sim_state,1.0,1.0
leave_one_worker_out,w02_s000,2,initial_sim_state,1.0,0.3036133050918579
leave_one_worker_out,w02_s001,2,initial_sim_state,0.9375,0.31904247403144836
leave_one_worker_out,w02_s002,2,initial_sim_state,0.875,0.2259158194065094
leave_one_worker_out,w02_s003,2,initial_sim_state,0.875,0.0751832127571106
leave_one_worker_out,w02_s004,2,initial_sim_state,1.0,0.17348253726959229
leave_one_worker_out,w03_s000,3,initial_sim_state,0.0625,0.8104692697525024
leave_one_worker_out,w03_s001,3,initial_sim_state,0.0625,0.8479903936386108
leave_one_worker_out,w03_s002,3,initial_sim_state,0.0625,0.8053935766220093
leave_one_worker_out,w03_s003,3,initial_sim_state,0.0625,0.8532150983810425
leave_one_worker_out,w03_s004,3,initial_sim_state,0.1875,0.8491171002388
leave_one_worker_out,w03_s005,3,initial_sim_state,0.125,0.7692110538482666
leave_one_worker_out,w00_s000,0,initial_policy_state,0.5625,0.44197070598602295
