failure_group,transition_phase,layer_group,token,metric,failures,matched_percentile_mean,failure_raw_mean,same_run_init_success_mean
all_failures,0.1,back_L12_15,T6,lag2_soft_change,1267,0.4554549753665924,0.04001455008983612,0.04005337134003639
all_failures,0.1,back_L12_15,T7,lag1_soft_change,1267,0.5762721300125122,0.037573330104351044,0.03635772690176964
all_failures,0.1,back_L12_15,T7,lag1_hard_churn,1267,0.4426904320716858,0.864717960357666,0.8766038417816162
all_failures,0.1,back_L12_15,T7,lag2_soft_change,1267,0.48698511719703674,0.040812183171510696,0.04060058295726776
all_failures,0.1,back_L12_15,T8,lag1_soft_change,1267,0.6167514324188232,0.038683440536260605,0.03691384941339493
all_failures,0.1,back_L12_15,T8,lag1_hard_churn,1267,0.4722786247730255,0.8605518937110901,0.8679333925247192
all_failures,0.1,back_L12_15,T8,lag2_soft_change,1267,0.47967129945755005,0.041901301592588425,0.04158353433012962
all_failures,0.1,back_L12_15,T9,lag1_soft_change,1267,0.5949994325637817,0.04043286293745041,0.03856305032968521
all_failures,0.1,back_L12_15,T9,lag1_hard_churn,1267,0.4447021484375,0.8503125309944153,0.8607872128486633
all_failures,0.1,back_L12_15,T9,lag2_soft_change,1267,0.5170816779136658,0.044155653566122055,0.043498579412698746
all_failures,0.1,back_L12_15,T10,lag1_soft_change,1267,0.6291173696517944,0.04463997483253479,0.04137752577662468
all_failures,0.1,back_L12_15,T10,lag1_hard_churn,1267,0.4644927680492401,0.8308948278427124,0.8359431028366089
all_failures,0.1,back_L12_15,T10,lag2_soft_change,1267,0.5520613789558411,0.04880979284644127,0.0477898083627224
all_failures,0.2,back_L12_15,state,lag1_soft_change,1267,0.5170778632164001,0.1002625972032547,0.0999675914645195
all_failures,0.2,back_L12_15,state,lag1_hard_churn,1267,0.5339810252189636,0.6852065920829773,0.6788280606269836
all_failures,0.2,back_L12_15,state,lag2_soft_change,1267,0.4753013849258423,0.12733832001686096,0.1301591396331787
all_failures,0.2,back_L12_15,T1,lag1_soft_change,1267,0.6754739284515381,0.043915875256061554,0.03907705843448639
all_failures,0.2,back_L12_15,T1,lag1_hard_churn,1267,0.5634324550628662,0.8317984938621521,0.8202577829360962
all_failures,0.2,back_L12_15,T1,lag2_soft_change,1267,0.5968555808067322,0.04735873267054558,0.04583687707781792
all_failures,0.2,back_L12_15,T2,lag1_soft_change,1267,0.691323459148407,0.04159967228770256,0.037230558693408966
all_failures,0.2,back_L12_15,T2,lag1_hard_churn,1267,0.5533352494239807,0.8606352210044861,0.8514732718467712
all_failures,0.2,back_L12_15,T2,lag2_soft_change,1267,0.5688908100128174,0.04377538338303566,0.04276964068412781
all_failures,0.2,back_L12_15,T3,lag1_soft_change,1267,0.6995469927787781,0.040775179862976074,0.03614916652441025
all_failures,0.2,back_L12_15,T3,lag1_hard_churn,1267,0.5397498607635498,0.8722781538963318,0.8677565455436707
all_failures,0.2,back_L12_15,T3,lag2_soft_change,1267,0.5797553062438965,0.04194227606058121,0.04044965282082558
all_failures,0.2,back_L12_15,T4,lag1_soft_change,1267,0.715460479259491,0.03987305983901024,0.03533323109149933
all_failures,0.2,back_L12_15,T4,lag1_hard_churn,1267,0.5534592866897583,0.8719903230667114,0.8684210181236267
all_failures,0.2,back_L12_15,T4,lag2_soft_change,1267,0.5944066047668457,0.04071519523859024,0.03923935070633888
all_failures,0.2,back_L12_15,T5,lag1_soft_change,1267,0.7132923603057861,0.0400669127702713,0.03541407734155655
all_failures,0.2,back_L12_15,T5,lag1_hard_churn,1267,0.5489889979362488,0.8755140900611877,0.8745279312133789
all_failures,0.2,back_L12_15,T5,lag2_soft_change,1267,0.6563527584075928,0.041015006601810455,0.03858090192079544
all_failures,0.2,back_L12_15,T6,lag1_soft_change,1267,0.7395309805870056,0.04041995853185654,0.03543601930141449
all_failures,0.2,back_L12_15,T6,lag1_hard_churn,1267,0.5447064638137817,0.878775417804718,0.8752383589744568
all_failures,0.2,back_L12_15,T6,lag2_soft_change,1267,0.6602731943130493,0.04132666438817978,0.03863881900906563
all_failures,0.2,back_L12_15,T7,lag1_soft_change,1267,0.7231951951980591,0.040546488016843796,0.03568827360868454
all_failures,0.2,back_L12_15,T7,lag1_hard_churn,1267,0.508033037185669,0.8710758090019226,0.8709264993667603
all_failures,0.2,back_L12_15,T7,lag2_soft_change,1267,0.6538687348365784,0.041634563356637955,0.039228327572345734
all_failures,0.2,back_L12_15,T8,lag1_soft_change,1267,0.744827926158905,0.04228057339787483,0.036729373037815094
all_failures,0.2,back_L12_15,T8,lag1_hard_churn,1267,0.5489300489425659,0.8700578212738037,0.863123893737793
all_failures,0.2,back_L12_15,T8,lag2_soft_change,1267,0.6910947561264038,0.043386198580265045,0.04033266380429268
all_failures,0.2,back_L12_15,T9,lag1_soft_change,1267,0.7193149924278259,0.04427919536828995,0.03828190639615059
all_failures,0.2,back_L12_15,T9,lag1_hard_churn,1267,0.5556681156158447,0.8558335304260254,0.8501132726669312
