method,k,calibration,threshold,units,rank,exceedances,fold,suite
cosine_neighbors_euclidean_score,9,task_init,3.4311649799346924,70,68,2,libero_goal_full_2,libero_goal
cosine_neighbors_euclidean_score,10,episode,2.717112302780152,541,515,26,libero_goal_full_2,libero_goal
cosine_neighbors_euclidean_score,10,task_init,3.329173803329468,70,68,2,libero_goal_full_2,libero_goal
cosine_neighbors_euclidean_score,20,episode,2.684988260269165,541,515,26,libero_goal_full_2,libero_goal
cosine_neighbors_euclidean_score,20,task_init,3.344986915588379,70,68,2,libero_goal_full_2,libero_goal
euclidean_neighbors_cosine_score,1,episode,0.2727763056755066,541,515,26,libero_goal_full_2,libero_goal
euclidean_neighbors_cosine_score,1,task_init,0.4089764654636383,70,68,2,libero_goal_full_2,libero_goal
euclidean_neighbors_cosine_score,2,episode,0.2715504467487335,541,515,26,libero_goal_full_2,libero_goal
euclidean_neighbors_cosine_score,2,task_init,0.3881093859672546,70,68,2,libero_goal_full_2,libero_goal
euclidean_neighbors_cosine_score,3,episode,0.2840126454830169,541,515,26,libero_goal_full_2,libero_goal
euclidean_neighbors_cosine_score,3,task_init,0.3743840456008911,70,68,2,libero_goal_full_2,libero_goal
euclidean_neighbors_cosine_score,4,episode,0.3002291917800903,541,515,26,libero_goal_full_2,libero_goal
euclidean_neighbors_cosine_score,4,task_init,0.3869395852088928,70,68,2,libero_goal_full_2,libero_goal
euclidean_neighbors_cosine_score,5,episode,0.3085240721702575,541,515,26,libero_goal_full_2,libero_goal
euclidean_neighbors_cosine_score,5,task_init,0.4115520119667053,70,68,2,libero_goal_full_2,libero_goal
euclidean_neighbors_cosine_score,6,episode,0.3162030279636383,541,515,26,libero_goal_full_2,libero_goal
euclidean_neighbors_cosine_score,6,task_init,0.4411002695560455,70,68,2,libero_goal_full_2,libero_goal
euclidean_neighbors_cosine_score,7,episode,0.3231736123561859,541,515,26,libero_goal_full_2,libero_goal
euclidean_neighbors_cosine_score,7,task_init,0.4514131247997284,70,68,2,libero_goal_full_2,libero_goal
