family,quantity,representation,direction,quantile,mode,primary,tp,fp,risk_recall,timely_fpr,precision,low_prior_tp,low_prior_fp,low_prior_precision,low_prior_share,mean_alarm_prior,lift
circuit,dd_deficit,L12,low,0.85,per_task,False,54,98,0.11088295687885011,0.006846922378257528,0.35526315789473684,8,91,0.08080808080808081,0.14814814814814814,0.2457562831262482,1.445591353252334
circuit,dd_deficit,L12,low,0.9,per_task,False,32,57,0.06570841889117043,0.0039823936281701946,0.3595505617977528,5,49,0.09259259259259259,0.15625,0.2670069573637464,1.3465962286066324
circuit,dd_deficit,L12,low,0.925,per_task,False,22,37,0.045174537987679675,0.002585062530566618,0.3728813559322034,2,29,0.06451612903225806,0.09090909090909091,0.29797858719022674,1.2513696351414654
circuit,dd_deficit,L12,low,0.95,per_task,False,15,22,0.030800821355236138,0.001537064207363935,0.40540540540540543,0,13,0.0,0.0,0.35588108599021523,1.1391597400502251
circuit,dd_deficit,L12,low,0.96,per_task,False,13,16,0.026694045174537988,0.0011178648780828617,0.4482758620689655,0,8,0.0,0.0,0.38174407002487726,1.1742837604255452
circuit,dd_deficit,L12,low,0.975,per_task,False,13,10,0.026694045174537988,0.0006986655488017886,0.5652173913043478,0,4,0.0,0.0,0.4248942115995128,1.330254392444154
circuit,dd_deficit,L12,low,0.98,per_task,False,11,8,0.022587268993839837,0.0005589324390414309,0.5789473684210527,0,2,0.0,0.0,0.4884715663486485,1.185222248960601
circuit,dd_deficit,L12,low,0.99,per_task,False,8,3,0.01642710472279261,0.00020959966464053657,0.7272727272727273,0,0,0.0,0.0,0.5672698698593327,1.2820577399132285
circuit,dd_deficit,L12,low,0.995,per_task,False,2,1,0.004106776180698152,6.986655488017886e-05,0.6666666666666666,0,0,0.0,0.0,0.437076365043562,1.525286471622006
circuit,dd_deficit,L13,high,0.5,global,False,277,1196,0.5687885010266941,0.08356039963669391,0.18805159538357094,106,1059,0.09098712446351931,0.38267148014440433,0.14413449397249972,1.3046952897996118
circuit,dd_deficit,L13,high,0.6,global,False,251,840,0.5154004106776181,0.05868790609935024,0.23006416131989002,60,686,0.08042895442359249,0.23904382470119523,0.19089030859473882,1.205216561351564
circuit,dd_deficit,L13,high,0.7,global,False,181,497,0.37166324435318276,0.034723677775448894,0.2669616519174041,41,397,0.09360730593607305,0.2265193370165746,0.2315242271415372,1.1530614105201311
circuit,dd_deficit,L13,high,0.75,global,False,129,367,0.2648870636550308,0.02564102564102564,0.2600806451612903,26,293,0.08150470219435736,0.20155038759689922,0.24966330896722305,1.041725539235863
circuit,dd_deficit,L13,high,0.8,global,False,89,224,0.18275154004106775,0.015650108293160065,0.28434504792332266,15,183,0.07575757575757576,0.16853932584269662,0.27396832456045983,1.0378756317158586
circuit,dd_deficit,L13,high,0.85,global,False,64,107,0.13141683778234087,0.007475721372179138,0.3742690058479532,13,87,0.13,0.203125,0.3443869525387918,1.0867688310746775
circuit,dd_deficit,L13,high,0.9,global,False,39,35,0.08008213552361396,0.00244532942080626,0.527027027027027,8,29,0.21621621621621623,0.20512820512820512,0.468451901034887,1.1250397871430087
circuit,dd_deficit,L13,high,0.925,global,False,26,8,0.053388090349075976,0.0005589324390414309,0.7647058823529411,4,5,0.4444444444444444,0.15384615384615385,0.6480629028014716,1.1799871263225232
circuit,dd_deficit,L13,high,0.95,global,False,18,1,0.03696098562628337,6.986655488017886e-05,0.9473684210526315,3,0,1.0,0.16666666666666666,0.7530933859195662,1.2579693817066862
circuit,dd_deficit,L13,high,0.96,global,False,13,1,0.026694045174537988,6.986655488017886e-05,0.9285714285714286,3,0,1.0,0.23076923076923078,0.6858678784196818,1.3538634156639084
circuit,dd_deficit,L13,high,0.975,global,False,9,1,0.018480492813141684,6.986655488017886e-05,0.9,0,0,0.0,0.0,0.7596001551509508,1.1848338812162937
circuit,dd_deficit,L13,high,0.98,global,False,8,1,0.01642710472279261,6.986655488017886e-05,0.8888888888888888,0,0,0.0,0.0,0.8104590132906467,1.0967721677618207
circuit,dd_deficit,L13,high,0.99,global,False,2,1,0.004106776180698152,6.986655488017886e-05,0.6666666666666666,0,0,0.0,0.0,0.7601099191206471,0.8770661320114298
circuit,dd_deficit,L13,high,0.995,global,False,0,0,0.0,0.0,0.0,0,0,0.0,0.0,,
circuit,dd_deficit,L13,high,0.5,per_task,False,185,219,0.3798767967145791,0.01530077551875917,0.45792079207920794,29,196,0.1288888888888889,0.15675675675675677,0.40394648637051195,1.13361746550554
circuit,dd_deficit,L13,high,0.6,per_task,False,170,133,0.3490759753593429,0.009292251799063789,0.5610561056105611,27,118,0.18620689655172415,0.1588235294117647,0.484679032787626,1.1575827870738564
circuit,dd_deficit,L13,high,0.7,per_task,False,157,97,0.32238193018480493,0.0067770558233773495,0.6181102362204725,26,83,0.23853211009174313,0.16560509554140126,0.5288460783896551,1.168790431617888
circuit,dd_deficit,L13,high,0.75,per_task,False,149,78,0.3059548254620123,0.005449591280653951,0.6563876651982379,26,69,0.2736842105263158,0.174496644295302,0.5529705864704267,1.1870209397355387
circuit,dd_deficit,L13,high,0.8,per_task,False,137,59,0.2813141683778234,0.004122126737930553,0.6989795918367347,26,51,0.33766233766233766,0.1897810218978102,0.5808190114147076,1.2034378663574081
