corpus,event_kind,relative,metric,token,auc_event_high,det_auc,direction,ci95_low,ci95_high,n_groups,n_events,npairs,p_point,p_maxT
B,loop,-2,late_flow_support_churn,5,0.45726495726495725,0.5427350427350428,event_low,0.3470253054227981,0.5530108147171438,10,57,936,0.4357821089455272,1.0
B,loop,-2,late_flow_support_churn,6,0.47863247863247865,0.5213675213675213,event_low,0.39436046244896084,0.5537694702276956,10,57,936,0.5517241379310345,1.0
B,loop,-2,late_flow_support_churn,7,0.45566239316239315,0.5443376068376069,event_low,0.37777777777777777,0.5442174432163119,10,57,936,0.40379810094952523,1.0
B,loop,-2,late_flow_support_churn,8,0.3450854700854701,0.6549145299145299,event_low,0.2683675601999091,0.41176641190118735,10,57,936,0.008995502248875561,0.5817091454272864
B,loop,-2,late_flow_support_churn,9,0.3488247863247863,0.6511752136752137,event_low,0.24832786641181048,0.46825866174084635,10,57,936,0.07196401799100449,0.6241879060469765
B,loop,-2,late_flow_support_churn,10,0.5208333333333334,0.5208333333333334,event_high,0.3750811893095019,0.6681314598479671,10,57,936,0.8420789605197402,1.0
B,loop,-2,late_flow_exec_churn,1,0.563034188034188,0.563034188034188,event_high,0.46082672033591915,0.6893617981585123,10,57,936,0.32283858070964516,1.0
B,loop,-2,late_flow_exec_churn,2,0.4091880341880342,0.5908119658119658,event_low,0.2950980392156863,0.568775043818604,10,57,936,0.2698650674662669,1.0
B,loop,-2,late_flow_exec_churn,3,0.4337606837606838,0.5662393162393162,event_low,0.35086559373640713,0.49825487361567905,10,57,936,0.12043978010994502,1.0
B,loop,-2,late_flow_exec_churn,4,0.41239316239316237,0.5876068376068376,event_low,0.2848260381593715,0.50668758526603,10,57,936,0.1889055472263868,1.0
B,loop,-2,late_flow_exec_churn,5,0.46794871794871795,0.532051282051282,event_low,0.34987166276781406,0.5614758598756691,10,57,936,0.5802098950524738,1.0
B,loop,-2,late_flow_exec_churn,6,0.48183760683760685,0.5181623931623931,event_low,0.3912947530018093,0.5655898964790282,10,57,936,0.6506746626686657,1.0
B,loop,-2,late_flow_exec_churn,7,0.44764957264957267,0.5523504273504274,event_low,0.3774879107321855,0.5364839690165703,10,57,936,0.3003498250874563,1.0
B,loop,-2,late_flow_exec_churn,8,0.3344017094017094,0.6655982905982907,event_low,0.2614705684784278,0.41074843459825455,10,57,936,0.014992503748125937,0.48425787106446777
