concept,kind,family,unit,task,valid_init_clusters,queries,geometry,state_soft_routing,geometry_plus_state_soft
eef_speed_m_per_query,continuous,motion,m_per_query,libero_goal/open_the_middle_drawer_of_the_cabinet,16,6452,0.8659307776052976,0.7351796061515494,0.9103815494645693
eef_speed_m_per_query,continuous,motion,m_per_query,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,16,10018,0.6709430057558115,0.9115469821626463,0.9280445099148726
eef_speed_m_per_query,continuous,motion,m_per_query,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,16,22883,0.7589101078129661,0.9122430223270657,0.9279735784857037
eef_speed_m_per_query,continuous,motion,m_per_query,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,16,5139,0.8866750647244205,0.9364427477501247,0.9466777177114958
eef_speed_m_per_query,continuous,motion,m_per_query,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,16,6816,0.8369086625325639,0.9469224055717942,0.965914451538199
target_speed_m_per_query,continuous,motion,m_per_query,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,16,10018,0.9200695354161441,0.9321055856868284,0.9448736761791917
target_speed_m_per_query,continuous,motion,m_per_query,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,16,22883,0.9210862564204472,0.9304513188788865,0.9649680961468481
target_speed_m_per_query,continuous,motion,m_per_query,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,16,5139,0.9527086226588894,0.9749328689039539,0.9812864781284255
target_speed_m_per_query,continuous,motion,m_per_query,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,16,6816,0.9538887675706382,0.9477807919861976,0.9830887192566661
phase_budget,continuous,phase,fraction,libero_goal/open_the_middle_drawer_of_the_cabinet,16,6452,0.9962808693327548,0.983737671380001,0.9908788132436777
phase_budget,continuous,phase,fraction,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,16,10018,0.9983199644137554,0.9509048493641405,0.9937578869612079
phase_budget,continuous,phase,fraction,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,16,22883,0.9996060960060336,0.8670793330583233,0.9992351496977394
phase_budget,continuous,phase,fraction,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,16,5139,0.9956278975964196,0.9427612634267815,0.9875020570676531
phase_budget,continuous,phase,fraction,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,16,6816,0.996478927009975,0.9734598919704248,0.992144708284751
phase_episode_posthoc,continuous,phase,fraction,libero_goal/open_the_middle_drawer_of_the_cabinet,16,6452,0.9974304285080109,0.9924147976328642,0.9956893573459896
phase_episode_posthoc,continuous,phase,fraction,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,16,10018,0.9972214777145691,0.9493213828753999,0.9953334814787129
phase_episode_posthoc,continuous,phase,fraction,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,16,22883,0.9995973396791826,0.8745133909833097,0.9992986423446331
phase_episode_posthoc,continuous,phase,fraction,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,16,5139,0.9956657147861425,0.9407362505054216,0.9925637657219295
phase_episode_posthoc,continuous,phase,fraction,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,16,6816,0.9960387724210021,0.9651270960625362,0.9941768045012542
gripper_closed_proxy,binary,gripper,bool,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,16,10018,0.9991138850908872,0.999048929632443,0.9988275275693524
gripper_closed_proxy,binary,gripper,bool,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,16,22883,0.9984658913134354,0.9995435183953223,0.9997444910377603
gripper_closed_proxy,binary,gripper,bool,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,16,5139,0.9999493327178851,0.9999201677218956,0.9999275100637266
gripper_closed_proxy,binary,gripper,bool,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,16,6816,0.9998787477121186,0.9998222305331227,0.9998448043806167
close_command,binary,action_command,bool,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,16,10018,0.9976820763175362,0.9989355268587792,0.998908167779994
close_command,binary,action_command,bool,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,16,22883,0.9903538824053915,0.999605849254704,0.9996334575847077
close_command,binary,action_command,bool,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,16,5139,0.9938038388561983,0.9972916895132928,0.9970728129500523
close_command,binary,action_command,bool,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,16,6816,0.9921061800722966,0.9980456617496081,0.9980182768486714
hold_proxy,binary,hold,bool,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,16,10018,0.9979684589914024,0.9969823594879061,0.9979820791933595
hold_proxy,binary,hold,bool,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,16,22883,0.9942967854619187,0.9961218545640409,0.9969309308700862
hold_proxy,binary,hold,bool,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,16,5139,0.9970421028340669,0.996891483786828,0.99764798202356
hold_proxy,binary,hold,bool,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,16,6816,0.9943683204546394,0.9990506354528313,0.9992331297925363
near_target_close_command_proxy,binary,hold,bool,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,16,10018,0.9980917796758344,0.998901547716931,0.9991294894356851
near_target_close_command_proxy,binary,hold,bool,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,16,22883,0.9887203054233775,0.9982182593349302,0.9988866480566152
near_target_close_command_proxy,binary,hold,bool,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,16,5139,0.9954625361742224,0.9960180397938709,0.9961266955157848
near_target_close_command_proxy,binary,hold,bool,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,16,6816,0.9972302610710586,0.999392889440642,0.999446181605077
target_lifted_1cm_proxy,binary,hold,bool,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,16,10018,0.9950766678782273,0.994408814343499,0.9962029471454152
target_lifted_1cm_proxy,binary,hold,bool,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,16,22883,0.9993988851020303,0.9994113199568581,0.9997023468011181
target_lifted_1cm_proxy,binary,hold,bool,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,16,5139,0.9935792302033236,0.9972863607941539,0.9986094300218307
target_lifted_1cm_proxy,binary,hold,bool,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,16,6816,0.9973240595453657,0.9988814800679482,0.9994032970098622
